 bandline  bandconti               z0               z1           z_mean 
        g          z              0.0  0.0902033448876  0.0451016724438 
        g          i              0.0  0.0270813807895  0.0135406903947 
        g          r  0.0699465332083  0.0902033448876  0.0800749390479 
        r          z  0.0952977595083   0.258787375588   0.177042567548 
        r          y  0.0952977595083   0.377016844729   0.236157302119 
        r          i   0.300943836968   0.391107454914   0.346025645941 
        i          y   0.647363455097   0.682826701596   0.665095078346 
        i          z   0.431786328257   0.682826701596   0.557306514926 
        z          j   0.722478199381   0.734824371312   0.728651285346 
        j          k    1.37122993693    1.65662188713    1.51392591203 
        k          j     3.1751549051    3.78631215756    3.48073353133 
